,ENSEMBL_ID
414,ENSG00000049883
415,ENSG00000050130
416,ENSG00000050165
417,ENSG00000050344
418,ENSG00000050393
419,ENSG00000050405
420,ENSG00000050426
421,ENSG00000050748
422,ENSG00000050820
423,ENSG00000051009
424,ENSG00000051108
425,ENSG00000051128
426,ENSG00000051382
427,ENSG00000051523
428,ENSG00000051596
429,ENSG00000051620
430,ENSG00000051825
431,ENSG00000052126
432,ENSG00000052723
433,ENSG00000052749
434,ENSG00000052795
435,ENSG00000052802
436,ENSG00000052841
437,ENSG00000053254
438,ENSG00000053371
439,ENSG00000053372
440,ENSG00000053501
441,ENSG00000053770
442,ENSG00000053900
443,ENSG00000053918
444,ENSG00000054116
445,ENSG00000054118
446,ENSG00000054148
447,ENSG00000054267
448,ENSG00000054277
449,ENSG00000054282
450,ENSG00000054392
451,ENSG00000054523
452,ENSG00000054611
453,ENSG00000054654
454,ENSG00000054690
455,ENSG00000054793
456,ENSG00000054965
457,ENSG00000054983
458,ENSG00000055044
459,ENSG00000055070
460,ENSG00000055130
461,ENSG00000055147
462,ENSG00000055163
463,ENSG00000055208
464,ENSG00000055211
465,ENSG00000055332
466,ENSG00000055483
467,ENSG00000055609
468,ENSG00000055917
469,ENSG00000055950
470,ENSG00000056050
471,ENSG00000056097
472,ENSG00000056558
473,ENSG00000056586
474,ENSG00000056972
475,ENSG00000057019
476,ENSG00000057252
477,ENSG00000057608
478,ENSG00000057663
479,ENSG00000057704
480,ENSG00000057757
481,ENSG00000057935
482,ENSG00000058056
483,ENSG00000058063
484,ENSG00000058091
485,ENSG00000058262
486,ENSG00000058272
487,ENSG00000058453
488,ENSG00000058600
489,ENSG00000058668
490,ENSG00000058673
491,ENSG00000058729
492,ENSG00000058799
493,ENSG00000058804
494,ENSG00000059122
495,ENSG00000059145
496,ENSG00000059377
497,ENSG00000059378
498,ENSG00000059573
499,ENSG00000059588
500,ENSG00000059691
501,ENSG00000059728
502,ENSG00000059758
503,ENSG00000059769
504,ENSG00000059804
505,ENSG00000059915
506,ENSG00000060069
507,ENSG00000060138
508,ENSG00000060237
509,ENSG00000060339
510,ENSG00000060491
511,ENSG00000060642
512,ENSG00000060656
513,ENSG00000060688
514,ENSG00000060749
515,ENSG00000060762
516,ENSG00000060971
517,ENSG00000061273
518,ENSG00000061676
519,ENSG00000061794
520,ENSG00000061918
521,ENSG00000061936
522,ENSG00000061938
523,ENSG00000061987
524,ENSG00000062194
525,ENSG00000062485
526,ENSG00000062582
527,ENSG00000062598
528,ENSG00000062650
529,ENSG00000062716
530,ENSG00000062725
531,ENSG00000062822
532,ENSG00000063046
533,ENSG00000063169
534,ENSG00000063176
535,ENSG00000063177
536,ENSG00000063180
537,ENSG00000063241
538,ENSG00000063244
539,ENSG00000063245
540,ENSG00000063322
541,ENSG00000063660
542,ENSG00000063761
543,ENSG00000063854
544,ENSG00000063978
545,ENSG00000064012
546,ENSG00000064042
547,ENSG00000064102
548,ENSG00000064115
549,ENSG00000064199
550,ENSG00000064225
551,ENSG00000064313
552,ENSG00000064393
553,ENSG00000064419
554,ENSG00000064489
555,ENSG00000064490
556,ENSG00000064545
557,ENSG00000064547
558,ENSG00000064601
559,ENSG00000064607
560,ENSG00000064651
561,ENSG00000064652
562,ENSG00000064666
563,ENSG00000064687
564,ENSG00000064703
565,ENSG00000064726
566,ENSG00000064763
567,ENSG00000064932
568,ENSG00000064933
569,ENSG00000064961
570,ENSG00000064989
571,ENSG00000064995
572,ENSG00000064999
573,ENSG00000065000
574,ENSG00000065029
575,ENSG00000065054
576,ENSG00000065057
577,ENSG00000065060
578,ENSG00000065150
579,ENSG00000065154
580,ENSG00000065183
581,ENSG00000065243
582,ENSG00000065268
583,ENSG00000065308
584,ENSG00000065357
585,ENSG00000065361
586,ENSG00000065413
587,ENSG00000065427
588,ENSG00000065457
589,ENSG00000065485
590,ENSG00000065491
591,ENSG00000065518
592,ENSG00000065526
593,ENSG00000065534
594,ENSG00000065548
595,ENSG00000065559
596,ENSG00000065600
597,ENSG00000065613
598,ENSG00000065615
599,ENSG00000065665
600,ENSG00000065717
601,ENSG00000065802
602,ENSG00000065809
603,ENSG00000065833
604,ENSG00000065882
605,ENSG00000065883
606,ENSG00000065911
607,ENSG00000065970
608,ENSG00000065978
609,ENSG00000065989
610,ENSG00000066027
611,ENSG00000066044
612,ENSG00000066056
613,ENSG00000066084
614,ENSG00000066117
615,ENSG00000066135
616,ENSG00000066136
617,ENSG00000066322
618,ENSG00000066336
619,ENSG00000066379
620,ENSG00000066422
621,ENSG00000066427
622,ENSG00000066455
623,ENSG00000066557
624,ENSG00000066583
625,ENSG00000066629
626,ENSG00000066651
627,ENSG00000066654
628,ENSG00000066697
629,ENSG00000066739
630,ENSG00000066777
631,ENSG00000066827
632,ENSG00000066855
633,ENSG00000066923
634,ENSG00000066926
635,ENSG00000067057
636,ENSG00000067064
637,ENSG00000067066
638,ENSG00000067082
639,ENSG00000067113
640,ENSG00000067141
641,ENSG00000067167
642,ENSG00000067182
643,ENSG00000067208
644,ENSG00000067221
645,ENSG00000067225
646,ENSG00000067248
647,ENSG00000067334
648,ENSG00000067365
649,ENSG00000067369
650,ENSG00000067533
651,ENSG00000067560
652,ENSG00000067596
653,ENSG00000067606
654,ENSG00000067704
655,ENSG00000067836
656,ENSG00000067900
657,ENSG00000067955
658,ENSG00000068001
659,ENSG00000068024
660,ENSG00000068028
661,ENSG00000068079
662,ENSG00000068097
663,ENSG00000068120
664,ENSG00000068137
665,ENSG00000068305
666,ENSG00000068383
667,ENSG00000068650
668,ENSG00000068654
669,ENSG00000068697
670,ENSG00000068724
671,ENSG00000068745
672,ENSG00000068784
673,ENSG00000068796
674,ENSG00000068831
675,ENSG00000068878
676,ENSG00000068885
677,ENSG00000068903
678,ENSG00000068912
679,ENSG00000068971
680,ENSG00000069020
681,ENSG00000069122
682,ENSG00000069248
683,ENSG00000069275
684,ENSG00000069329
685,ENSG00000069345
686,ENSG00000069399
687,ENSG00000069424
688,ENSG00000069493
689,ENSG00000069702
690,ENSG00000069849
691,ENSG00000069943
692,ENSG00000069956
693,ENSG00000069966
694,ENSG00000069974
695,ENSG00000069998
696,ENSG00000070010
697,ENSG00000070018
698,ENSG00000070047
699,ENSG00000070061
700,ENSG00000070081
701,ENSG00000070087
702,ENSG00000070214
703,ENSG00000070269
704,ENSG00000070366
705,ENSG00000070367
706,ENSG00000070404
707,ENSG00000070413
708,ENSG00000070423
709,ENSG00000070444
710,ENSG00000070476
711,ENSG00000070495
712,ENSG00000070501
713,ENSG00000070540
714,ENSG00000070610
715,ENSG00000070614
716,ENSG00000070669
717,ENSG00000070718
718,ENSG00000070731
719,ENSG00000070756
720,ENSG00000070761
721,ENSG00000070770
722,ENSG00000070778
723,ENSG00000070785
724,ENSG00000070814
725,ENSG00000070831
726,ENSG00000070961
727,ENSG00000071051
728,ENSG00000071054
729,ENSG00000071073
730,ENSG00000071082
731,ENSG00000071127
732,ENSG00000071189
733,ENSG00000071205
734,ENSG00000071242
735,ENSG00000071243
736,ENSG00000071246
737,ENSG00000071282
738,ENSG00000071462
739,ENSG00000071537
740,ENSG00000071564
741,ENSG00000071575
742,ENSG00000071626
743,ENSG00000071655
744,ENSG00000071794
745,ENSG00000071894
746,ENSG00000071967
747,ENSG00000071994
748,ENSG00000072042
749,ENSG00000072062
750,ENSG00000072110
751,ENSG00000072121
752,ENSG00000072134
753,ENSG00000072135
754,ENSG00000072163
755,ENSG00000072210
756,ENSG00000072274
757,ENSG00000072310
758,ENSG00000072364
759,ENSG00000072401
760,ENSG00000072415
761,ENSG00000072422
762,ENSG00000072518
763,ENSG00000072609
764,ENSG00000072682
765,ENSG00000072736
766,ENSG00000072756
767,ENSG00000072778
768,ENSG00000072786
769,ENSG00000072803
770,ENSG00000072818
771,ENSG00000072849
772,ENSG00000072864
773,ENSG00000072954
774,ENSG00000072958
775,ENSG00000073008
776,ENSG00000073050
777,ENSG00000073060
778,ENSG00000073111
779,ENSG00000073169
780,ENSG00000073331
781,ENSG00000073350
782,ENSG00000073417
783,ENSG00000073536
784,ENSG00000073578
