,ENSEMBL_ID
414,ENSG00000050165
415,ENSG00000050344
416,ENSG00000050393
417,ENSG00000050405
418,ENSG00000050426
419,ENSG00000050748
420,ENSG00000050820
421,ENSG00000051009
422,ENSG00000051108
423,ENSG00000051128
424,ENSG00000051382
425,ENSG00000051523
426,ENSG00000051596
427,ENSG00000051620
428,ENSG00000051825
429,ENSG00000052126
430,ENSG00000052723
431,ENSG00000052749
432,ENSG00000052802
433,ENSG00000052841
434,ENSG00000053254
435,ENSG00000053371
436,ENSG00000053372
437,ENSG00000053501
438,ENSG00000053770
439,ENSG00000053900
440,ENSG00000054116
441,ENSG00000054118
442,ENSG00000054148
443,ENSG00000054267
444,ENSG00000054277
445,ENSG00000054282
446,ENSG00000054392
447,ENSG00000054523
448,ENSG00000054611
449,ENSG00000054654
450,ENSG00000054690
451,ENSG00000054793
452,ENSG00000054965
453,ENSG00000054983
454,ENSG00000055044
455,ENSG00000055070
456,ENSG00000055130
457,ENSG00000055147
458,ENSG00000055163
459,ENSG00000055208
460,ENSG00000055211
461,ENSG00000055332
462,ENSG00000055609
463,ENSG00000055917
464,ENSG00000055950
465,ENSG00000056050
466,ENSG00000056097
467,ENSG00000056586
468,ENSG00000056972
469,ENSG00000057252
470,ENSG00000057608
471,ENSG00000057663
472,ENSG00000057704
473,ENSG00000057757
474,ENSG00000057935
475,ENSG00000058056
476,ENSG00000058063
477,ENSG00000058091
478,ENSG00000058262
479,ENSG00000058272
480,ENSG00000058453
481,ENSG00000058600
482,ENSG00000058668
483,ENSG00000058673
484,ENSG00000058729
485,ENSG00000058799
486,ENSG00000058804
487,ENSG00000059122
488,ENSG00000059145
489,ENSG00000059377
490,ENSG00000059378
491,ENSG00000059573
492,ENSG00000059588
493,ENSG00000059691
494,ENSG00000059728
495,ENSG00000059758
496,ENSG00000059769
497,ENSG00000059915
498,ENSG00000060069
499,ENSG00000060138
500,ENSG00000060237
501,ENSG00000060339
502,ENSG00000060642
503,ENSG00000060656
504,ENSG00000060688
505,ENSG00000060749
506,ENSG00000060762
507,ENSG00000060971
508,ENSG00000061273
509,ENSG00000061656
510,ENSG00000061676
511,ENSG00000061794
512,ENSG00000061936
513,ENSG00000061987
514,ENSG00000062194
515,ENSG00000062485
516,ENSG00000062582
517,ENSG00000062598
518,ENSG00000062650
519,ENSG00000062716
520,ENSG00000062725
521,ENSG00000062822
522,ENSG00000063046
523,ENSG00000063169
524,ENSG00000063176
525,ENSG00000063177
526,ENSG00000063180
527,ENSG00000063241
528,ENSG00000063244
529,ENSG00000063245
530,ENSG00000063322
531,ENSG00000063587
532,ENSG00000063601
533,ENSG00000063660
